record_id,record_date,boat_id,boat_type,engine_model,engine_age_years,total_engine_hours,avg_daily_operating_hours,last_maintenance_date,last_maintenance_type,days_since_last_maintenance,hours_since_last_service,engine_temp_c,oil_pressure_bar,coolant_level_percent,engine_rpm,fuel_consumption_lph,vibration_level,unusual_sounds,oil_change_days_ago,filter_change_days_ago,sea_condition,hull_condition,last_inspection_days,condition_severity,maintenance_reason,maintenance_condition_notes,days_until_maintenance,maintenance_needed_soon,maintenance_due_date
R1987,2025-08-03,FB025,Trawler,Perkins M115T,7.4,14585,8,2025-07-22,Oil & filter change,12,101,68.6,3.92,98,1199,43.1,2,No,9,5,1,Good,12,Normal,Routine preventive maintenance,All parameters normal,79,No,2025-10-21
R1988,2025-08-04,FB007,Gillnetter,Volvo D4-180,1.9,3733,9,2025-07-15,Oil & filter change,20,180,73.9,4.59,88,1319,33.0,1,No,6,1,2,Good,22,Normal,Routine preventive maintenance,All parameters normal,44,No,2025-09-17
R1989,2025-08-04,FB007,Gillnetter,Volvo D4-180,6.9,13549,11,2025-07-26,Routine inspection,9,105,82.8,4.18,100,1247,36.4,2,No,61,54,2,Fair,49,Normal,Oil change overdue,oil_change_overdue=61days; inspection_overdue=49days,15,No,2025-08-19
R1990,2025-08-05,FB028,Seiner,John Deere 6068,4.1,8268,8,2025-06-16,Fuel filter replacement,50,400,86.6,3.25,86,1793,69.3,2,No,8,2,1,Good,25,Normal,Routine preventive maintenance,All parameters normal,43,No,2025-09-17
R1991,2025-08-05,FB016,Longline,Yanmar 4JH45,3.6,8161,7,2025-07-06,Fuel filter replacement,30,213,87.7,3.09,90,1210,51.6,1,No,7,6,2,Good,5,Normal,Cooling system check required,temp=87.7C,48,No,2025-09-22
R1992,2025-08-06,FB014,Net Boat,MAN D2862,2.7,5238,11,2025-07-04,Cooling system service,33,373,81.7,3.56,85,2013,80.6,3,Yes,19,15,3,Good,26,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,70,No,2025-10-15
R1993,2025-08-06,FB009,Net Boat,Perkins M92,8.5,17145,8,2025-06-15,Fuel filter replacement,52,420,77.4,2.99,86,1283,35.2,2,No,27,34,2,Good,14,Normal,Routine preventive maintenance,All parameters normal,46,No,2025-09-21
R1994,2025-08-07,FB020,Trawler,Cummins 6BTA,1.9,4797,10,2025-07-21,Oil & filter change,17,177,83.6,2.76,99,1571,64.1,3,No,50,48,2,Good,6,Normal,Oil change due soon,oil_pressure=2.76bar; vibration=3; oil_change_overdue=50days,43,No,2025-09-19
R1995,2025-08-07,FB023,Seiner,Volvo D13,7.3,14324,10,2025-06-04,Valve adjustment,64,645,70.0,1.9,93,1196,38.0,2,No,34,33,2,Fair,28,Normal,Low oil pressure,oil_pressure=1.9bar; service_hours=645,21,No,2025-08-28
R1996,2025-08-08,FB001,Longline,Yanmar 4JH45,6.0,12907,9,2025-06-04,Cooling system service,65,593,65.1,2.36,97,1188,46.7,2,No,34,27,1,Good,25,Normal,Low oil pressure,oil_pressure=2.36bar,23,No,2025-08-31
R1997,2025-08-08,FB017,Gillnetter,Yanmar 4LHA,6.6,13202,7,2025-06-20,Fuel filter replacement,49,347,81.1,5.19,83,1538,49.9,1,No,5,9,1,Good,18,Normal,Routine preventive maintenance,All parameters normal,80,No,2025-10-27
R1998,2025-08-09,FB030,Trawler,Yanmar 6LY3,6.5,13890,11,2025-07-09,Oil & filter change,31,342,71.0,3.07,94,1295,47.4,1,No,35,33,2,Fair,26,Normal,Routine preventive maintenance,All parameters normal,47,No,2025-09-25
R1999,2025-08-09,FB009,Net Boat,Perkins M92,7.5,15375,10,2025-06-17,Cooling system service,53,533,77.5,5.12,85,1499,79.1,3,No,65,72,1,Poor,64,Normal,Oil change overdue,vibration=3; oil_change_overdue=65days; filter_overdue=72days; hull_poor; inspection_overdue=64days,53,No,2025-10-01
R2000,2025-08-10,FB009,Net Boat,Perkins M92,2.8,5753,9,2025-07-12,Oil & filter change,29,269,78.8,3.92,82,1621,61.5,2,No,69,59,2,Fair,31,Normal,Oil change overdue,oil_change_overdue=69days; filter_overdue=59days,15,No,2025-08-25
R2001,2025-08-10,FB027,Gillnetter,Caterpillar C9.3,1.5,2967,11,2025-07-13,Oil & filter change,28,315,79.7,3.56,92,1823,76.5,1,No,17,23,2,Good,7,Normal,Routine preventive maintenance,All parameters normal,25,No,2025-09-04
R2002,2025-08-11,FB002,Gillnetter,Yanmar 4LHA,5.7,11087,10,2025-05-25,Cooling system overhaul,78,786,84.6,2.4,92,1655,50.6,4,Yes,60,70,1,Poor,54,Warning,Low oil pressure,oil_pressure=2.4bar; vibration=4; unusual_sounds; service_hours=786; oil_change_overdue=60days; filter_overdue=70days; hull_poor; inspection_overdue=54days,1,Yes,2025-08-12
R2003,2025-08-11,FB012,Gillnetter,Caterpillar C9.3,4.0,8037,10,2025-06-06,Major service,66,662,83.8,3.6,91,1379,42.5,3,Yes,44,51,4,Good,22,Normal,Approaching service interval,vibration=3; unusual_sounds; service_hours=662; sea_state=4,36,No,2025-09-16
R2004,2025-08-12,FB014,Net Boat,MAN D2862,2.4,5248,7,2025-07-08,Fuel filter replacement,35,245,79.4,5.11,95,1238,46.5,1,Yes,9,5,3,Good,11,Normal,Routine preventive maintenance,unusual_sounds,75,No,2025-10-26
R2005,2025-08-12,FB024,Net Boat,Perkins M92,2.8,5593,10,2025-07-04,Oil & filter change,39,394,74.9,4.85,96,1099,31.6,1,No,20,27,1,Good,8,Normal,Routine preventive maintenance,All parameters normal,51,No,2025-10-02
R2006,2025-08-12,FB004,Net Boat,Cummins QSB6.7,3.8,7441,8,2025-05-08,Major service,96,774,78.8,3.82,99,1317,52.3,2,No,9,19,2,Fair,30,Normal,Service interval reached (hours),service_hours=774,15,No,2025-08-27
R2007,2025-08-13,FB014,Net Boat,MAN D2862,2.0,3874,7,2025-06-28,Fuel filter replacement,46,322,73.8,2.68,83,1617,67.2,1,No,43,46,1,Good,23,Normal,Routine preventive maintenance,oil_pressure=2.68bar,68,No,2025-10-20
R2008,2025-08-13,FB005,Trawler,Cummins 6BTA,1.9,4296,8,2025-06-12,Oil & filter change,62,502,76.6,2.83,100,1327,35.4,4,Yes,24,30,4,Fair,26,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; sea_state=4,21,No,2025-09-03
R2009,2025-08-14,FB024,Net Boat,Perkins M92,7.9,16412,7,2025-08-05,Routine inspection,9,68,96.3,2.92,100,1374,59.0,2,Yes,38,48,2,Fair,34,Normal,Overheating risk,temp=96.3C; unusual_sounds,13,No,2025-08-27
R2010,2025-08-14,FB019,Net Boat,Cummins QSB6.7,3.7,7066,7,2025-07-22,Oil & filter change,23,164,79.3,4.62,88,1399,40.1,1,No,50,52,2,Fair,40,Normal,Oil change due soon,oil_change_overdue=50days,19,No,2025-09-02
R2011,2025-08-15,FB015,Trawler,Yanmar 6LY3,8.4,16465,10,2025-07-14,Oil & filter change,32,327,81.2,4.91,80,1564,53.6,2,No,38,31,4,Poor,46,Normal,Hull/inspection required,coolant=80%; sea_state=4; hull_poor; inspection_overdue=46days,34,No,2025-09-18
R2012,2025-08-15,FB012,Gillnetter,Caterpillar C9.3,8.3,16789,9,2025-05-22,Major service,85,770,73.1,3.76,82,1673,68.6,1,No,47,61,2,Poor,59,Normal,Service interval reached (hours),service_hours=770; oil_change_overdue=47days; filter_overdue=61days; hull_poor; inspection_overdue=59days,14,No,2025-08-29
R2013,2025-08-16,FB005,Trawler,Cummins 6BTA,2.5,5763,8,2025-07-11,Fuel filter replacement,36,292,85.1,3.36,88,1206,54.7,2,No,6,4,3,Poor,64,Normal,Hull/inspection required,hull_poor; inspection_overdue=64days,68,No,2025-10-23
R2014,2025-08-16,FB028,Seiner,John Deere 6068,6.5,13572,7,2025-04-07,Cooling system overhaul,131,919,83.3,4.84,100,1592,53.0,1,No,24,23,1,Good,19,Normal,Service interval reached (hours),service_hours=919,52,No,2025-10-07
R2015,2025-08-17,FB020,Trawler,Cummins 6BTA,5.7,10774,10,2025-06-15,Cooling system overhaul,63,639,83.4,2.82,91,1056,33.6,3,No,31,36,1,Fair,27,Normal,Approaching service interval,vibration=3; service_hours=639,27,No,2025-09-13
R2016,2025-08-17,FB010,Trawler,Perkins M115T,6.3,12467,10,2025-07-03,Fuel filter replacement,45,457,79.5,3.64,87,1072,34.5,3,No,44,38,1,Good,16,Normal,Routine preventive maintenance,vibration=3,29,No,2025-09-15
R2017,2025-08-18,FB013,Seiner,John Deere 6068,2.2,3934,9,2025-05-26,Major service,84,764,85.2,3.97,86,1718,74.9,4,Yes,38,36,3,Fair,47,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=764; inspection_overdue=47days,47,No,2025-10-04
R2018,2025-08-18,FB022,Gillnetter,Volvo D4-180,2.8,5466,7,2025-07-28,Oil & filter change,21,153,86.9,2.91,83,1526,69.0,1,No,25,29,1,Good,10,Normal,Routine preventive maintenance,All parameters normal,28,No,2025-09-15
R2019,2025-08-19,FB022,Gillnetter,Volvo D4-180,2.0,4802,7,2025-07-07,Fuel filter replacement,43,301,80.0,3.09,96,1441,50.0,1,No,37,45,1,Good,8,Normal,Routine preventive maintenance,All parameters normal,35,No,2025-09-23
R2020,2025-08-19,FB014,Net Boat,MAN D2862,5.7,10688,7,2025-08-07,Routine inspection,12,86,77.2,3.03,90,1650,74.3,3,No,68,61,3,Fair,38,Normal,Oil change overdue,vibration=3; oil_change_overdue=68days; filter_overdue=61days,8,No,2025-08-27
R2021,2025-08-20,FB010,Trawler,Perkins M115T,8.4,15990,7,2025-07-16,Oil & filter change,35,250,84.3,4.73,100,1466,67.0,1,No,40,50,1,Fair,33,Normal,Routine preventive maintenance,All parameters normal,16,No,2025-09-05
R2022,2025-08-20,FB020,Trawler,Cummins 6BTA,6.2,11985,11,2025-08-14,Oil & filter change,6,69,71.7,5.13,94,1401,67.4,1,No,44,40,2,Fair,40,Normal,Routine preventive maintenance,All parameters normal,36,No,2025-09-25
R2023,2025-08-21,FB020,Trawler,Cummins 6BTA,6.5,13143,8,2025-06-22,Cooling system service,60,481,73.0,3.69,95,1211,45.4,5,Yes,19,31,1,Good,18,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds,30,No,2025-09-20
R2024,2025-08-21,FB018,Seiner,Cummins 6BT5.9,8.4,17110,10,2025-06-10,Cooling system overhaul,72,727,77.6,3.39,89,1757,72.6,3,Yes,22,34,1,Poor,46,Normal,Approaching service interval,vibration=3; unusual_sounds; service_hours=727; hull_poor; inspection_overdue=46days,18,No,2025-09-08
R2025,2025-08-22,FB003,Seiner,Cummins 6BT5.9,6.2,12618,11,2025-08-10,Oil & filter change,12,141,65.8,3.12,84,1280,40.4,3,Yes,5,12,1,Fair,42,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,2,Yes,2025-08-24
R2026,2025-08-22,FB015,Trawler,Yanmar 6LY3,1.8,4187,11,2025-07-16,Oil & filter change,37,417,83.8,3.6,85,1118,22.5,2,No,65,77,3,Poor,69,Normal,Oil change overdue,oil_change_overdue=65days; filter_overdue=77days; hull_poor; inspection_overdue=69days,49,No,2025-10-10
R2027,2025-08-22,FB019,Net Boat,Cummins QSB6.7,7.6,14318,8,2025-06-10,Oil & filter change,73,590,71.3,3.16,82,1272,41.7,2,No,63,56,1,Fair,25,Normal,Oil change overdue,oil_change_overdue=63days; filter_overdue=56days,4,Yes,2025-08-26
R2028,2025-08-23,FB029,Net Boat,MAN D2862,4.1,8794,9,2025-06-13,Valve adjustment,71,645,74.7,3.52,96,1430,54.0,2,Yes,18,19,1,Good,18,Normal,Approaching service interval,unusual_sounds; service_hours=645,75,No,2025-11-06
R2029,2025-08-23,FB016,Longline,Yanmar 4JH45,1.5,2843,9,2025-05-14,Cooling system overhaul,101,913,76.5,3.93,88,1435,52.3,2,No,57,50,2,Fair,32,Normal,Service interval reached (hours),service_hours=913; oil_change_overdue=57days,7,Yes,2025-08-30
R2030,2025-08-24,FB011,Longline,Caterpillar C7.1,5.1,10565,7,2025-08-03,Routine inspection,21,147,78.3,3.28,96,1216,46.5,1,No,49,50,1,Fair,39,Normal,Oil change due soon,oil_change_overdue=49days,74,No,2025-11-06
R2031,2025-08-24,FB017,Gillnetter,Yanmar 4LHA,8.1,15538,10,2025-08-06,Fuel filter replacement,18,188,75.6,3.45,91,1427,39.7,3,No,42,46,2,Good,18,Normal,Routine preventive maintenance,vibration=3,39,No,2025-10-02
R2032,2025-08-25,FB006,Longline,Volvo D6-310,3.3,6602,9,2025-06-01,Cooling system overhaul,85,765,77.5,3.45,89,826,17.8,1,No,40,44,2,Fair,37,Normal,Service interval reached (hours),service_hours=765,13,No,2025-09-07
R2033,2025-08-25,FB003,Seiner,Cummins 6BT5.9,4.9,9918,8,2025-08-02,Oil & filter change,23,187,77.6,3.35,83,1594,80.1,2,No,34,25,3,Good,8,Normal,Routine preventive maintenance,All parameters normal,31,No,2025-09-25
R2034,2025-08-26,FB021,Longline,Volvo D6-310,2.7,5977,9,2025-07-04,Fuel filter replacement,53,477,74.9,3.25,92,1232,51.0,3,No,43,35,3,Good,20,Normal,Routine preventive maintenance,vibration=3,71,No,2025-11-05
R2035,2025-08-26,FB030,Trawler,Yanmar 6LY3,1.9,3007,10,2025-08-09,Fuel filter replacement,17,173,72.6,4.21,89,1295,51.0,3,No,26,40,1,Fair,40,Normal,Routine preventive maintenance,vibration=3,63,No,2025-10-28
R2036,2025-08-27,FB026,Longline,Caterpillar C7.1,2.1,4215,7,2025-07-21,Oil & filter change,37,264,85.6,2.18,96,1334,51.2,1,No,11,7,2,Good,20,Normal,Low oil pressure,oil_pressure=2.18bar,56,No,2025-10-22
R2037,2025-08-27,FB018,Seiner,Cummins 6BT5.9,6.6,12657,10,2025-07-09,Fuel filter replacement,49,493,65.0,4.86,86,1466,51.7,2,No,59,61,2,Fair,27,Normal,Oil change due soon,oil_change_overdue=59days; filter_overdue=61days,42,No,2025-10-08
R2038,2025-08-28,FB002,Gillnetter,Yanmar 4LHA,7.5,15252,11,2025-07-07,Fuel filter replacement,52,582,76.6,3.71,94,1406,35.9,2,No,5,9,1,Good,23,Normal,Routine preventive maintenance,All parameters normal,61,No,2025-10-28
R2039,2025-08-28,FB030,Trawler,Yanmar 6LY3,2.5,5388,10,2025-08-15,Oil & filter change,13,135,74.7,4.09,100,1573,65.1,1,No,21,14,2,Good,9,Normal,Routine preventive maintenance,All parameters normal,42,No,2025-10-09
R2040,2025-08-29,FB014,Net Boat,MAN D2862,3.5,7643,10,2025-06-14,Cooling system overhaul,76,767,80.9,4.18,92,1116,13.5,1,No,38,36,3,Good,8,Normal,Service interval reached (hours),service_hours=767,56,No,2025-10-24
R2041,2025-08-29,FB009,Net Boat,Perkins M92,2.9,5532,7,2025-05-13,Valve adjustment,108,758,67.8,3.03,95,1520,55.1,2,No,12,17,2,Good,12,Normal,Service interval reached (hours),service_hours=758,36,No,2025-10-04
R2042,2025-08-30,FB027,Gillnetter,Caterpillar C9.3,1.7,3863,10,2025-07-02,Oil & filter change,59,590,74.5,2.87,94,1593,62.0,3,No,27,22,2,Good,8,Normal,Routine preventive maintenance,vibration=3,84,No,2025-11-22
R2043,2025-08-30,FB023,Seiner,Volvo D13,5.4,11480,10,2025-06-09,Valve adjustment,82,822,77.3,2.77,100,1856,72.6,4,Yes,36,45,1,Fair,31,Normal,Abnormal vibration/noise,oil_pressure=2.77bar; vibration=4; unusual_sounds; service_hours=822,4,Yes,2025-09-03
R2044,2025-08-31,FB023,Seiner,Volvo D13,6.4,11978,9,2025-06-19,Valve adjustment,73,665,85.5,3.4,93,1144,56.7,1,No,35,41,2,Poor,50,Normal,Approaching service interval,service_hours=665; hull_poor; inspection_overdue=50days,7,Yes,2025-09-07
R2045,2025-08-31,FB009,Net Boat,Perkins M92,6.0,12306,9,2025-07-09,Fuel filter replacement,53,477,80.3,4.16,95,1500,73.3,1,No,28,42,2,Poor,46,Normal,Hull/inspection required,hull_poor; inspection_overdue=46days,54,No,2025-10-24
R2046,2025-09-01,FB030,Trawler,Yanmar 6LY3,4.2,8879,10,2025-08-03,Fuel filter replacement,29,291,69.7,3.13,90,1182,48.5,1,No,18,22,2,Fair,48,Normal,Hull/inspection required,inspection_overdue=48days,1,Yes,2025-09-02
R2047,2025-09-01,FB014,Net Boat,MAN D2862,5.4,10670,7,2025-05-14,Cooling system overhaul,110,772,74.6,4.09,86,1625,55.5,5,Yes,60,70,4,Good,20,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; service_hours=772; oil_change_overdue=60days; filter_overdue=70days; sea_state=4,12,No,2025-09-13
R2048,2025-09-01,FB016,Longline,Yanmar 4JH45,2.2,3794,8,2025-05-24,Valve adjustment,100,806,84.2,1.71,83,1383,67.7,3,No,11,9,5,Good,13,Normal,Low oil pressure,oil_pressure=1.71bar; vibration=3; service_hours=806; sea_state=5,45,No,2025-10-16
R2049,2025-09-02,FB023,Seiner,Volvo D13,2.6,5671,10,2025-07-10,Cooling system service,54,544,69.6,3.29,98,1280,50.2,4,No,34,41,4,Fair,32,Normal,Routine preventive maintenance,vibration=4; sea_state=4,47,No,2025-10-19
R2050,2025-09-02,FB020,Trawler,Cummins 6BTA,8.0,15400,11,2025-08-17,Oil & filter change,16,183,77.4,4.53,84,1217,32.7,2,No,15,28,3,Good,12,Normal,Routine preventive maintenance,All parameters normal,13,No,2025-09-15
R2051,2025-09-03,FB006,Longline,Volvo D6-310,6.8,13510,8,2025-08-21,Oil & filter change,13,111,77.9,3.46,95,1091,34.5,1,No,64,74,2,Good,22,Normal,Oil change overdue,oil_change_overdue=64days; filter_overdue=74days,22,No,2025-09-25
R2052,2025-09-03,FB010,Trawler,Perkins M115T,8.0,15979,9,2025-07-11,Cooling system service,54,491,75.3,2.94,93,1111,43.9,2,No,45,54,2,Fair,28,Normal,Oil change due soon,oil_change_overdue=45days,21,No,2025-09-24
R2053,2025-09-04,FB011,Longline,Caterpillar C7.1,7.9,16157,11,2025-06-21,Valve adjustment,75,830,96.9,3.07,96,1201,34.9,1,No,16,17,4,Fair,24,Normal,Overheating risk,temp=96.9C; service_hours=830; sea_state=4,9,No,2025-09-13
R2054,2025-09-04,FB029,Net Boat,MAN D2862,6.0,11686,7,2025-08-18,Oil & filter change,17,123,75.1,1.5,87,1198,41.4,1,No,20,24,2,Poor,57,Normal,Low oil pressure,oil_pressure=1.5bar; hull_poor; inspection_overdue=57days,26,No,2025-09-30
R2055,2025-09-05,FB022,Gillnetter,Volvo D4-180,8.0,15657,8,2025-05-17,Major service,111,892,81.1,2.79,86,1480,58.6,1,No,68,72,1,Fair,28,Normal,Service interval reached (hours),oil_pressure=2.79bar; service_hours=892; oil_change_overdue=68days; filter_overdue=72days,9,No,2025-09-14
R2056,2025-09-05,FB011,Longline,Caterpillar C7.1,4.4,8849,7,2025-08-15,Oil & filter change,21,148,72.6,4.45,93,1425,42.8,1,No,8,3,1,Good,25,Normal,Routine preventive maintenance,All parameters normal,15,No,2025-09-20
R2057,2025-09-06,FB023,Seiner,Volvo D13,1.5,3503,8,2025-07-20,Cooling system service,48,390,81.7,3.13,89,1051,29.5,1,No,23,19,3,Good,13,Normal,Routine preventive maintenance,All parameters normal,10,No,2025-09-16
R2058,2025-09-06,FB023,Seiner,Volvo D13,1.9,4943,10,2025-07-03,Major service,65,650,84.1,3.23,83,1481,46.6,4,Yes,23,29,2,Fair,40,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=650,24,No,2025-09-30
R2059,2025-09-07,FB012,Gillnetter,Caterpillar C9.3,2.3,3846,8,2025-05-25,Valve adjustment,105,843,73.9,1.73,100,1289,53.0,3,Yes,17,22,3,Good,14,Normal,Emergency: engine protection,oil_pressure=1.73bar; vibration=3; unusual_sounds; service_hours=843,58,No,2025-11-04
R2060,2025-09-07,FB013,Seiner,John Deere 6068,2.2,4557,11,2025-08-12,Fuel filter replacement,26,290,77.6,2.3,86,1948,73.6,3,No,36,43,3,Good,9,Normal,Low oil pressure,oil_pressure=2.3bar; vibration=3,42,No,2025-10-19
R2061,2025-09-08,FB027,Gillnetter,Caterpillar C9.3,4.0,7456,11,2025-06-22,Cooling system overhaul,78,858,71.7,4.55,85,1279,47.2,1,No,66,71,2,Fair,30,Normal,Service interval reached (hours),service_hours=858; oil_change_overdue=66days; filter_overdue=71days,24,No,2025-10-02
R2062,2025-09-08,FB017,Gillnetter,Yanmar 4LHA,6.4,13309,11,2025-07-01,Valve adjustment,69,759,70.0,4.09,89,1517,45.3,3,Yes,6,10,4,Poor,65,Normal,Service interval reached (hours),vibration=3; unusual_sounds; service_hours=759; sea_state=4; hull_poor; inspection_overdue=65days,49,No,2025-10-27
R2063,2025-09-09,FB005,Trawler,Cummins 6BTA,7.0,13530,10,2025-07-05,Cooling system overhaul,66,665,85.3,2.56,98,1276,34.2,2,No,42,44,4,Fair,24,Normal,Approaching service interval,oil_pressure=2.56bar; service_hours=665; sea_state=4,26,No,2025-10-05
R2064,2025-09-09,FB022,Gillnetter,Volvo D4-180,5.6,10862,10,2025-07-02,Major service,69,692,74.1,3.1,77,1544,48.7,1,No,40,45,1,Good,26,Normal,Approaching service interval,coolant=77%; service_hours=692,37,No,2025-10-16
R2065,2025-09-10,FB018,Seiner,Cummins 6BT5.9,2.5,4705,9,2025-08-16,Oil & filter change,25,230,65.0,3.58,98,1440,50.9,1,No,38,37,1,Fair,22,Normal,Routine preventive maintenance,All parameters normal,68,No,2025-11-17
R2066,2025-09-10,FB016,Longline,Yanmar 4JH45,6.7,13361,11,2025-08-28,Oil & filter change,13,146,90.4,2.64,85,1239,44.0,1,No,52,46,3,Poor,62,Normal,Oil change due soon,temp=90.4C; oil_pressure=2.64bar; oil_change_overdue=52days; hull_poor; inspection_overdue=62days,50,No,2025-10-30
R2067,2025-09-11,FB022,Gillnetter,Volvo D4-180,4.0,8161,7,2025-08-12,Fuel filter replacement,30,213,72.4,2.0,92,1381,53.6,3,Yes,20,26,1,Good,20,Normal,Low oil pressure,oil_pressure=2.0bar; vibration=3; unusual_sounds,24,No,2025-10-05
R2068,2025-09-11,FB028,Seiner,John Deere 6068,1.6,3441,10,2025-08-21,Oil & filter change,21,216,76.3,3.47,86,1472,39.4,3,Yes,31,29,2,Good,18,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,19,No,2025-09-30
R2069,2025-09-11,FB010,Trawler,Perkins M115T,3.5,6997,7,2025-09-03,Oil & filter change,8,58,89.5,4.06,100,1417,50.8,1,No,52,60,4,Good,6,Normal,Oil change due soon,temp=89.5C; oil_change_overdue=52days; filter_overdue=60days; sea_state=4,60,No,2025-11-10
R2070,2025-09-12,FB013,Seiner,John Deere 6068,3.8,6935,8,2025-09-04,Routine inspection,8,70,77.0,4.07,91,1571,54.1,2,No,14,26,1,Good,20,Normal,Routine preventive maintenance,All parameters normal,39,No,2025-10-21
R2071,2025-09-12,FB006,Longline,Volvo D6-310,3.4,7163,8,2025-08-25,Oil & filter change,18,147,76.9,4.3,86,974,32.5,1,No,59,58,2,Good,6,Normal,Oil change due soon,oil_change_overdue=59days; filter_overdue=58days,18,No,2025-09-30
R2072,2025-09-13,FB020,Trawler,Cummins 6BTA,7.2,14373,10,2025-07-27,Oil & filter change,48,481,69.4,2.36,89,1773,69.6,1,No,38,31,2,Fair,42,Normal,Low oil pressure,oil_pressure=2.36bar,19,No,2025-10-02
R2073,2025-09-13,FB013,Seiner,John Deere 6068,6.8,14180,10,2025-09-05,Oil & filter change,8,89,66.6,3.65,91,1424,51.9,2,No,11,1,2,Fair,43,Normal,Routine preventive maintenance,All parameters normal,36,No,2025-10-19
R2074,2025-09-14,FB011,Longline,Caterpillar C7.1,6.4,12446,7,2025-07-26,Fuel filter replacement,50,356,76.8,3.39,92,1472,48.6,3,Yes,60,64,2,Good,24,Normal,Oil change overdue,vibration=3; unusual_sounds; oil_change_overdue=60days; filter_overdue=64days,10,No,2025-09-24
R2075,2025-09-14,FB021,Longline,Volvo D6-310,2.5,4198,10,2025-09-04,Oil & filter change,10,102,80.5,3.53,93,1211,56.4,3,Yes,44,56,1,Fair,32,Normal,Filter replacement due,vibration=3; unusual_sounds; filter_overdue=56days,55,No,2025-11-08
R2076,2025-09-15,FB013,Seiner,John Deere 6068,7.2,14382,8,2025-08-28,Fuel filter replacement,18,151,80.1,3.43,90,1530,47.0,1,No,21,33,3,Fair,40,Normal,Routine preventive maintenance,All parameters normal,69,No,2025-11-23
R2077,2025-09-15,FB014,Net Boat,MAN D2862,6.2,13047,7,2025-07-16,Fuel filter replacement,61,428,74.6,3.07,82,1407,48.1,2,No,8,20,3,Fair,27,Normal,Routine preventive maintenance,All parameters normal,47,No,2025-11-01
R2078,2025-09-16,FB014,Net Boat,MAN D2862,2.9,5880,9,2025-06-20,Cooling system overhaul,88,796,78.1,1.5,88,1168,39.4,1,No,43,33,2,Fair,36,Normal,Low oil pressure,oil_pressure=1.5bar; service_hours=796,49,No,2025-11-04
R2079,2025-09-16,FB008,Seiner,Volvo D13,6.0,11900,9,2025-07-30,Cooling system service,48,439,65.1,4.53,94,1536,56.6,1,No,15,6,4,Good,21,Normal,Routine preventive maintenance,sea_state=4,33,No,2025-10-19
R2080,2025-09-17,FB004,Net Boat,Cummins QSB6.7,4.9,9364,8,2025-07-26,Oil & filter change,53,427,81.2,3.86,86,1395,44.2,1,No,67,81,1,Good,9,Normal,Oil change overdue,oil_change_overdue=67days; filter_overdue=81days,21,No,2025-10-08
R2081,2025-09-17,FB025,Trawler,Perkins M115T,4.6,10078,8,2025-06-02,Cooling system overhaul,107,862,79.1,2.41,95,1393,34.6,1,No,31,37,2,Good,24,Normal,Low oil pressure,oil_pressure=2.41bar; service_hours=862,22,No,2025-10-09
R2082,2025-09-18,FB003,Seiner,Cummins 6BT5.9,2.3,4085,11,2025-07-24,Cooling system overhaul,56,621,91.8,3.98,91,1263,37.5,1,Yes,35,47,3,Good,13,Normal,Approaching service interval,temp=91.8C; unusual_sounds; service_hours=621,48,No,2025-11-05
R2083,2025-09-18,FB010,Trawler,Perkins M115T,5.1,9837,8,2025-08-30,Fuel filter replacement,19,158,78.1,3.24,89,1339,39.3,1,Yes,65,79,3,Fair,47,Normal,Oil change overdue,unusual_sounds; oil_change_overdue=65days; filter_overdue=79days; inspection_overdue=47days,37,No,2025-10-25
R2084,2025-09-19,FB021,Longline,Volvo D6-310,2.2,4685,11,2025-09-07,Routine inspection,12,133,71.4,3.26,98,1446,69.0,2,No,34,41,5,Fair,24,Normal,Routine preventive maintenance,sea_state=5,15,No,2025-10-04
R2085,2025-09-19,FB004,Net Boat,Cummins QSB6.7,2.6,4271,11,2025-08-07,Cooling system service,43,483,77.6,2.99,80,1775,92.5,1,No,20,20,2,Poor,50,Normal,Hull/inspection required,coolant=80%; hull_poor; inspection_overdue=50days,35,No,2025-10-24
R2086,2025-09-20,FB020,Trawler,Cummins 6BTA,2.4,5437,8,2025-07-23,Fuel filter replacement,59,472,75.7,4.03,86,1522,57.7,1,No,17,24,5,Good,21,Normal,Routine preventive maintenance,sea_state=5,71,No,2025-11-30
R2087,2025-09-20,FB022,Gillnetter,Volvo D4-180,8.2,16712,9,2025-06-29,Cooling system overhaul,83,747,81.0,2.96,98,1200,27.6,4,Yes,31,36,1,Fair,27,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=747,32,No,2025-10-22
R2088,2025-09-21,FB020,Trawler,Cummins 6BTA,3.5,7449,10,2025-09-08,Routine inspection,13,135,78.2,2.72,100,1489,62.9,3,No,7,18,1,Good,27,Normal,Routine preventive maintenance,oil_pressure=2.72bar; vibration=3,11,No,2025-10-02
